id,question,subcategory,expected_route,actual_route,status_code,latency_ms,evaluable,route_correct,operational_success,answer_present,crm_fact_recall,requirement_recall,document_source_count,crm_source_count,expected_document_source_present,retrieval_expected_file_precision,citation_expected_document_present,citation_expected_file_precision,citation_returned_source_link_precision,citation_claim_coverage_proxy,claim_support_rate,groundedness_score,groundedness_pass,unsafe_final_decision_language,denied_no_data_access,denied_safe_response,overall_pass,errors,missing_requirements,missing_crm_facts
route-crm-010,Which policy number is linked to claim TEST-CLM-2026-2301?,claim_policy_link,crm_only,crm_only,200,217.5279,True,True,True,True,1.0,,0,1,,,,,,,,1.0,True,False,,,True,,,
route-crm-014,What is the current status of Jonas Richter's legal protection policy?,named_policy_status,crm_only,crm_only,200,237.147,True,True,True,True,1.0,,0,2,,,,,,,,0.9928,True,False,,,True,,,
route-crm-015,Which claims are recorded for Leon Becker?,customer_claims,crm_only,crm_only,200,298.1436,True,True,True,True,1.0,,0,3,,,,,,,,0.990914,True,False,,,True,,,
route-crm-018,Show Sophie Keller's policy numbers and their statuses.,customer_policy_summary,crm_only,crm_only,200,233.45,True,True,True,True,1.0,,0,3,,,,,,,,0.991,True,False,,,True,,,
route-crm-019,Which customer email is associated with policy TEST-KFZ-2026-1901?,policy_customer_link,crm_only,crm_only,200,257.0823,True,True,True,True,1.0,,0,2,,,,,,,,0.991875,True,False,,,True,,,
route-rag-004,What exclusions apply to damage caused by wear and tear on a vehicle?,motor_exclusions,retrieval_only,retrieval_only,200,6366.2221,True,True,True,True,,1.0,8,0,True,0.5,True,1.0,1.0,1.0,1.0,0.874942,True,False,,,True,,,
route-rag-005,What information is provided in the motor vehicle insurance product sheet?,motor_product_sheet,retrieval_only,retrieval_only,200,12591.6465,True,True,True,True,,1.0,8,0,True,1.0,True,1.0,1.0,0.2777777777777778,0.8333333333333334,0.899249,True,False,,,True,,,
route-rag-006,What does household contents insurance cover after water damage?,household_water,retrieval_only,retrieval_only,200,7407.4536,True,True,True,True,,1.0,8,0,True,1.0,True,1.0,1.0,0.6666666666666666,0.6666666666666666,0.919368,True,False,,,True,,,
route-rag-007,Are household contents covered against fire under the general conditions?,household_fire,retrieval_only,retrieval_only,200,5745.883,True,True,True,True,,1.0,8,0,True,1.0,True,1.0,1.0,1.0,1.0,0.849066,True,False,,,True,,,
route-rag-008,What does private liability insurance generally cover?,private_liability,retrieval_only,retrieval_only,200,6268.7746,True,True,True,True,,1.0,8,0,True,1.0,True,1.0,1.0,1.0,1.0,0.861674,True,False,,,True,,,
route-rag-011,Under what conditions does buildings insurance cover natural hazards?,building_natural_hazards,retrieval_only,retrieval_only,200,5730.4583,True,True,True,True,,1.0,8,0,True,1.0,True,1.0,1.0,1.0,0.6666666666666666,0.914463,True,False,,,True,,,
route-rag-013,What legal disputes are covered by legal protection insurance?,legal_protection_scope,retrieval_only,retrieval_only,200,6965.5749,True,True,True,True,,1.0,8,0,True,1.0,True,1.0,1.0,1.0,0.8181818181818182,0.889121,True,False,,,True,,,
route-rag-014,Which waiting periods or exclusions apply to legal protection cover?,legal_protection_exclusions,retrieval_only,retrieval_only,200,5287.9553,True,True,True,True,,1.0,8,0,True,1.0,True,1.0,1.0,1.0,0.5714285714285714,0.857544,True,False,,,True,,,
route-rag-016,What travel assistance benefits are described in the assistance brochure?,travel_assistance,retrieval_only,retrieval_only,200,4304.266,True,True,True,True,,1.0,8,0,True,1.0,True,1.0,1.0,1.0,1.0,0.842175,True,False,,,True,,,
route-rag-017,What services are summarized in the insurance services brochure?,services_brochure,retrieval_only,retrieval_only,200,8126.4091,True,True,True,True,,1.0,6,0,True,1.0,True,1.0,1.0,0.5,0.5,0.834857,True,False,,,True,,,
route-rag-019,Which mutual provisions are described for private health insurance?,private_health,retrieval_only,retrieval_only,200,10621.394,True,True,True,True,,0.5,8,0,True,1.0,True,1.0,1.0,0.6666666666666666,0.6666666666666666,0.899873,True,False,,,False,requirement_recall_below_threshold,mutual_contract_rules,
route-rag-020,How do the insurance terms distinguish repair from replacement of a damaged windscreen?,windscreen_repair,retrieval_only,retrieval_only,200,9203.355,True,True,True,True,,1.0,8,0,True,0.75,True,1.0,1.0,1.0,0.75,0.898032,True,False,,,True,,,
route-combined-003,"For Oliver Brandt's current motor policy, is parking collision damage generally covered and what annual premium is stored in CRM?",motor_collision_and_premium,combined,combined,200,8693.4104,True,True,True,True,1.0,1.0,8,2,True,1.0,True,1.0,1.0,0.6,0.8,0.874752,True,False,,,True,,,
route-combined-004,"Does policy TEST-HH-2026-1201 cover water damage according to the household insurance terms, and what deductible is recorded for the policy?",household_water_and_deductible,combined,combined,200,5669.8088,True,True,True,True,1.0,1.0,8,1,True,1.0,True,1.0,1.0,1.0,0.625,0.809254,True,False,,,True,,,
route-combined-005,"For Sophie Keller's legal protection policy, what disputes are generally covered and what is the policy status?",legal_scope_and_status,combined,combined,200,7096.3849,True,True,True,True,1.0,1.0,8,2,True,1.0,True,1.0,1.0,1.0,0.75,0.800002,True,False,,,True,,,
route-combined-006,"Under the private liability conditions, is personal liability damage generally covered for policy TEST-PHV-2025-1301, and when did that policy end?",liability_and_end_date,combined,combined,200,8913.6015,True,True,True,True,1.0,1.0,8,1,True,1.0,True,1.0,1.0,0.5,0.5,0.875123,True,False,,,True,,,
route-combined-007,"For Hannah Vogel's motor policy, is third-party liability damage covered by the general conditions and what coverage type is recorded?",motor_liability_and_type,combined,combined,200,5470.834,True,True,True,True,1.0,1.0,8,2,True,1.0,True,1.0,1.0,1.0,0.6,0.866493,True,False,,,True,,,
route-combined-008,"Does Hannah Vogel's household policy generally cover fire damage, and what annual premium is recorded for it?",household_fire_and_premium,combined,combined,200,8509.6496,True,True,True,True,1.0,0.0,8,2,True,1.0,True,1.0,1.0,1.0,0.2,0.961536,True,False,,,False,requirement_recall_below_threshold,household_fire_event,
route-combined-009,"For policy TEST-RS-2026-1501, which legal disputes are covered according to the terms and what CRM status does the contract have?",legal_scope_and_contract_status,combined,combined,200,7366.8111,True,True,True,True,1.0,1.0,8,1,True,1.0,True,1.0,1.0,1.0,1.0,0.896275,True,False,,,True,,,
route-combined-010,"Amira Hoffmann has a private liability claim. Is this kind of damage generally covered, and what is her current claim status?",liability_and_claim_status,combined,combined,200,6305.5706,True,True,True,True,1.0,1.0,8,2,True,1.0,True,1.0,1.0,1.0,0.5,0.919418,True,False,,,True,,,
route-combined-011,"For Noah Weber's partially comprehensive motor policy, is vehicle theft generally covered and what deductible is recorded?",motor_theft_and_deductible,combined,combined,206,12720.8414,True,True,True,True,1.0,1.0,8,2,True,1.0,True,1.0,1.0,0.7142857142857143,0.8571428571428571,0.811243,True,False,,,True,,,
route-combined-012,"Noah Weber reported theft damage. According to the motor insurance terms, is theft covered and what is the status of claim TEST-CLM-2026-2501?",motor_theft_and_claim,combined,combined,200,6234.4685,True,True,True,True,1.0,1.0,8,2,True,1.0,True,1.0,1.0,1.0,0.6,0.934513,True,False,,,True,,,
route-combined-013,"For Mila Hartmann's household policy, is water damage covered under the general conditions and what is the policy status?",household_water_and_status,combined,combined,200,7358.0732,True,True,True,True,1.0,1.0,8,2,True,1.0,True,1.0,1.0,1.0,0.5,0.80429,True,False,,,True,,,
route-combined-014,"Does Leon Becker's fully comprehensive motor policy generally cover collision damage, and what annual premium is recorded?",motor_collision_and_premium,combined,combined,200,5758.498,True,True,True,True,1.0,1.0,8,2,True,1.0,True,1.0,1.0,1.0,0.5714285714285714,0.803069,True,False,,,True,,,
route-combined-015,"For claim TEST-CLM-2026-2601, is collision damage covered by the relevant insurance conditions and what claimed amount is stored?",collision_and_claim_amount,combined,combined,200,6034.774,True,True,True,True,1.0,1.0,8,1,True,1.0,True,1.0,1.0,1.0,0.4,0.842334,True,False,,,True,,,
route-combined-016,"For Leon Becker's private liability policy, is property damage generally covered and what deductible is recorded in CRM?",liability_property_and_deductible,combined,combined,200,7510.0128,True,True,True,True,1.0,1.0,8,2,True,1.0,True,1.0,1.0,1.0,0.75,0.795974,True,False,,,True,,,
route-combined-017,"For policy TEST-KFZ-2026-1003, do the motor terms cover damage caused by hail, and what coverage type does the customer have?",motor_hail_and_type,combined,combined,200,6206.9191,True,True,True,True,1.0,1.0,8,2,True,1.0,True,1.0,1.0,1.0,0.7142857142857143,0.82911,True,False,,,True,,,
